full_name,name,age,hometown,occupation
Roberto Martinez,Roberto,28,"Jacksonville, Florida",Insurance agent
Chris Lambton,Chris,33,"Dennis, Massachusetts",Landscaper
Frank Neuschaefer,Frank,31,"Bartlett, Illinois",Retail Manager
Kirk DeWindt,Kirk,27,"Green Bay, Wisconsin",Sales Consultant
Ty Brown,Ty,31,"Booneville, Mississippi",Medical Sales
Craig Robinson,Craig,18,"Maui, Hawaii",Surfer
Justin Rego,Justin,26,"Toronto, Ontario",Entertainment Wrestler
Chris Nordhorn,Chris,29,"Winter Park, Florida",Entrepreneur
Kasey Kahl,Kasey,27,"Fresno, California",Advertising Account Executive
Jesse Beck,Jesse,24,"Peculiar, Missouri",General Contractor
Jonathan Novack,Jonathan,30,"Boston, Massachusetts",Weatherman
John Crivello,John,32,"Mukilteo, Washington",Hotel Business Development
Steve Kocsis,Steve,28,"Chesterland, Ohio",Sales Representative
Hunter Wagner,Hunter,28,"Fair Oaks Ranch, Texas",Internet Account Executive
Chris Hasek-Watt,Chris,27,"Campbell River, British Columbia",Real Estate Developer
Craig McKinnon,Craig,34,"Sarnia, Ontario",Dental Sales
Tyler Vermette,Tyler,25,"Chelsea, Vermont",Online Advertising
Derek,Derek,28,"Warren, Michigan",Sales Manager
Derrick Schuster,Derrick,27,"Manhattan Beach, California",Construction Engineer
Jason Whitehead,Jason,27,"Johnson City, Tennessee",Construction Consultant
Jay Resmini,Jay,29,"Barrington, Rhode Island",Lawyer
John Nichols,John,27,"Wichita, Kansas",Engineering Software Sales
Kyle Higgins,Kyle,26,"Highlands Ranch, Colorado",Outdoorsman
Phil Kayden,Phil,30,"Elmore, Ohio",Investment Manager
Tyler Morrow,Tyler,25,"Helena, Montana",Catering Manager
